geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; ṆoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 80; 57; 8; 0.1; 3; 0; 1; 0; 0.03; 3; 3; 34;41
2; 57; 34; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 31;37
3; 34; 22; 4; 0.1; 1; 0; 1; 0; 0.03; 2; 2; 18;34
4; 22; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;33
5; 18; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 8;34
6; 21; 13; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 11;32
7; 13; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;33
8; 14; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;33
9; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;33
10; 18; 19; 10; 0.5; 1; 0; 4; 0; 0.03; 1; 1; 10;33

